iter	Passed	Remaining
332	7270	14562
333	7290	14537
334	7311	14514
335	7332	14489
336	7352	14464
337	7374	14443
338	7394	14418
339	7414	14392
340	7435	14370
341	7456	14345
342	7475	14318
343	7494	14291
344	7514	14265
345	7534	14241
346	7554	14215
347	7574	14191
348	7594	14166
349	7619	14150
350	7639	14125
351	7659	14101
352	7682	14080
353	7702	14056
354	7722	14031
355	7744	14009
356	7765	13987
357	7787	13965
358	7809	13943
359	7829	13919
360	7850	13895
361	7870	13870
362	7892	13850
363	7912	13825
364	7931	13798
365	7950	13772
366	7971	13749
367	7991	13724
368	8013	13703
369	8033	13678
370	8054	13655
371	8074	13631
372	8095	13608
373	8117	13586
374	8137	13563
375	8158	13539
376	8177	13513
377	8196	13487
378	8218	13465
379	8238	13442
380	8258	13416
381	8281	13397
382	8302	13375
383	8321	13349
384	8344	13329
385	8363	13304
386	8383	13279
387	8403	13254
388	8427	13236
389	8446	13211
390	8466	13187
391	8486	13162
392	8505	13137
393	8526	13114
394	8546	13090
395	8569	13070
396	8590	13047
397	8610	13023
398	8631	13001
399	8652	12978
400	8672	12954
401	8693	12931
402	8713	12907
403	8732	12883
404	8753	12860
405	8775	12838
406	8795	12815
407	8815	12790
408	8841	12775
409	8860	12750
410	8879	12725
411	8901	12703
412	8921	12680
413	8941	12655
414	8960	12630
415	8982	12610
416	9002	12586
417	9023	12564
418	9042	12539
419	9064	12517
420	9084	12493
421	9105	12471
422	9124	12446
423	9146	12425
424	9166	12401
425	9185	12377
426	9205	12353
427	9227	12331
428	9249	12311
429	9268	12286
430	9292	12268
431	9312	12244
432	9332	12220
433	9353	12197
434	9374	12176
435	9394	12152
436	9414	12129
437	9435	12106
438	9455	12082
439	9475	12059
440	9494	12035
441	9515	12012
442	9536	11990
443	9556	11967
444	9576	11943
445	9596	11920
446	9617	11898
447	9639	11876
448	9657	11851
449	9677	11828
450	9698	11805
451	9719	11783
452	9738	11759
453	9761	11739
454	9784	11719
455	9806	11698
456	9826	11675
457	9846	11652
458	9867	11629
459	9886	11606
460	9907	11583
461	9928	11562
462	9947	11537
463	9967	11514
464	9989	11492
465	10008	11469
466	10029	11447
467	10054	11429
468	10075	11407
469	10095	11384
470	10116	11362
471	10137	11339
472	10156	11316
473	10176	11293
474	10201	11275
475	10221	11251
476	10241	11228
477	10262	11207
478	10285	11187
479	10305	11164
480	10325	11141
481	10347	11120
482	10366	11096
483	10387	11074
484	10407	11051
485	10427	11028
486	10449	11007
487	10469	10984
488	10491	10963
489	10511	10941
490	10531	10917
491	10551	10895
492	10572	10872
493	10593	10851
494	10614	10829
495	10634	10806
496	10655	10784
497	10675	10760
498	10696	10739
499	10716	10716
500	10738	10695
501	10758	10672
502	10777	10649
503	10799	10628
504	10820	10606
505	10840	10583
506	10866	10566
507	10885	10543
508	10905	10519
509	10925	10497
510	10946	10474
511	10966	10452
512	10986	10429
513	11007	10408
514	11032	10389
515	11051	10366
516	11071	10343
517	11092	10321
518	11113	10299
519	11133	10276
520	11151	10252
521	11171	10229
522	11192	10208
523	11212	10184
524	11232	10162
525	11254	10141
526	11280	10124
527	11302	10103
528	11324	10082
529	11344	10060
530	11366	10039
531	11387	10017
532	11407	9994
533	11426	9971
534	11445	9948
535	11467	9927
536	11489	9905
537	11508	9883
538	11528	9860
539	11548	9838
540	11569	9816
541	11591	9794
542	11610	9771
543	11631	9749
544	11651	9727
545	11673	9706
546	11694	9684
547	11715	9662
548	11735	9640
549	11755	9617
550	11775	9595
551	11795	9573
552	11819	9553
553	11842	9534
554	11862	9511
555	11882	9489
556	11901	9465
557	11923	9444
558	11944	9422
559	11963	9400
560	11982	9376
561	12004	9355
562	12024	9333
563	12047	9313
564	12070	9292
565	12092	9272
566	12111	9249
567	12132	9227
568	12153	9205
569	12173	9183
570	12194	9161
571	12217	9142
572	12237	9119
573	12258	9097
574	12279	9076
575	12300	9054
576	12320	9031
577	12339	9008
578	12360	8987
579	12381	8965
580	12401	8943
581	12420	8920
582	12443	8900
583	12463	8878
584	12486	8857
585	12509	8837
586	12529	8815
587	12550	8793
588	12569	8770
589	12590	8749
590	12611	8727
591	12631	8705
592	12652	8683
593	12672	8661
594	12691	8638
595	12710	8616
596	12731	8594
597	12751	8572
598	12770	8549
599	12789	8526
600	12811	8505
601	12832	8484
602	12855	8463
603	12878	8443
604	12902	8423
605	12922	8401
606	12942	8379
607	12964	8358
608	12985	8337
609	13005	8314
610	13024	8292
611	13047	8271
612	13067	8250
613	13087	8227
614	13106	8204
615	13126	8183
616	13147	8161
617	13166	8138
618	13186	8116
619	13207	8095
620	13227	8073
621	13247	8050
622	13267	8028
623	13291	8008
624	13314	7988
625	13333	7965
626	13355	7944
627	13375	7922
628	13395	7901
629	13414	7878
630	13436	7857
631	13457	7835
632	13479	7815
633	13503	7795
634	13522	7773
635	13542	7750
636	13562	7728
637	13582	7706
638	13602	7684
639	13622	7662
640	13641	7640
641	13663	7619
642	13682	7596
643	13705	7576
644	13728	7555
645	13748	7534
646	13767	7511
647	13787	7489
648	13810	7469
649	13832	7448
650	13853	7426
651	13874	7405
652	13895	7383
653	13915	7361
654	13935	7339
655	13958	7319
656	13980	7298
657	14000	7276
658	14021	7255
659	14041	7233
660	14062	7212
661	14082	7190
662	14105	7169
663	14125	7147
664	14145	7125
665	14166	7104
666	14187	7083
667	14208	7061
668	14227	7039
669	14249	7018
670	14270	6997
671	14289	6974
672	14311	6953
673	14331	6931
674	14351	6910
675	14370	6887
676	14394	6867
677	14414	6845
678	14433	6823
679	14453	6801
680	14474	6780
681	14494	6758
682	14516	6737
683	14536	6715
684	14557	6694
685	14576	6672
686	14596	6650
687	14616	6628
688	14637	6607
689	14658	6585
690	14678	6563
691	14697	6541
692	14718	6520
693	14739	6498
694	14759	6476
695	14778	6454
696	14799	6433
697	14821	6412
698	14843	6391
699	14862	6369
700	14883	6348
701	14902	6326
702	14925	6305
703	14946	6284
704	14968	6263
705	14988	6241
706	15008	6219
707	15028	6198
708	15048	6176
709	15070	6155
710	15091	6134
711	15110	6112
712	15129	6090
713	15148	6068
714	15168	6046
715	15191	6025
716	15211	6003
717	15231	5982
718	15250	5960
719	15271	5939
720	15293	5918
721	15313	5896
722	15339	5877
723	15358	5854
724	15377	5832
725	15399	5811
726	15421	5790
727	15440	5768
728	15460	5747
729	15482	5726
730	15502	5704
731	15522	5683
732	15542	5661
733	15564	5640
734	15583	5618
735	15602	5596
736	15622	5574
737	15645	5554
738	15665	5532
739	15685	5511
740	15705	5489
741	15726	5468
742	15750	5447
743	15768	5425
744	15789	5404
745	15809	5383
746	15830	5361
747	15851	5340
748	15874	5319
749	15895	5298
750	15915	5276
751	15934	5254
752	15955	5233
753	15975	5212
754	15994	5190
755	16014	5168
756	16035	5147
757	16055	5125
758	16077	5104
759	16097	5083
760	16117	5062
761	16140	5041
762	16160	5019
763	16181	4998
764	16202	4977
765	16221	4955
766	16240	4933
767	16260	4911
768	16282	4890
769	16301	4869
770	16320	4847
771	16342	4826
772	16363	4805
773	16383	4783
774	16406	4763
775	16428	4742
776	16448	4720
777	16468	4699
778	16488	4677
779	16507	4656
780	16529	4634
781	16550	4613
782	16570	4592
783	16590	4570
784	16613	4550
785	16638	4530
786	16659	4508
787	16679	4487
788	16703	4466
789	16724	4445
790	16744	4424
791	16764	4402
792	16785	4381
793	16805	4360
794	16830	4339
795	16851	4318
796	16871	4297
797	16891	4275
798	16912	4254
799	16932	4233
800	16955	4212
801	16975	4190
802	16995	4169
803	17015	4148
804	17035	4126
805	17056	4105
806	17078	4084
807	17099	4063
808	17119	4041
809	17139	4020
810	17159	3998
811	17179	3977
812	17198	3955
813	17217	3934
814	17237	3912
815	17257	3891
816	17277	3870
817	17297	3848
818	17318	3827
819	17339	3806
820	17361	3785
821	17381	3763
822	17405	3743
823	17424	3721
824	17443	3700
825	17464	3678
826	17484	3657
827	17505	3636
828	17524	3614
829	17544	3593
830	17565	3572
831	17583	3550
832	17603	3529
833	17623	3507
834	17647	3487
835	17668	3466
836	17687	3444
837	17706	3422
838	17727	3401
839	17749	3380
840	17772	3360
841	17792	3338
842	17811	3317
843	17831	3295
844	17854	3275
845	17874	3253
846	17894	3232
847	17913	3210
848	17932	3189
849	17953	3168
850	17976	3147
851	17997	3126
852	18018	3105
853	18038	3083
854	18058	3062
855	18080	3041
856	18101	3020
857	18121	2999
858	18140	2977
859	18159	2956
860	18184	2935
861	18203	2914
862	18223	2892
863	18242	2871
864	18261	2850
865	18281	2828
866	18302	2807
867	18322	2786
868	18343	2765
869	18363	2744
870	18384	2722
871	18404	2701
872	18427	2680
873	18447	2659
874	18466	2638
875	18485	2616
876	18507	2595
877	18527	2574
878	18547	2553
879	18566	2531
880	18591	2511
881	18609	2489
882	18629	2468
883	18649	2447
884	18670	2426
885	18690	2404
886	18709	2383
887	18729	2362
888	18749	2341
889	18770	2319
890	18790	2298
891	18809	2277
892	18829	2256
893	18849	2235
894	18872	2214
895	18892	2192
896	18910	2171
897	18931	2150
898	18951	2129
899	18971	2107
900	18995	2087
901	19014	2065
902	19033	2044
903	19052	2023
904	19072	2002
905	19094	1981
906	19114	1959
907	19134	1938
908	19153	1917
909	19174	1896
910	19193	1875
911	19212	1853
912	19231	1832
913	19251	1811
914	19273	1790
915	19293	1769
916	19314	1748
917	19333	1726
918	19356	1706
919	19376	1684
920	19397	1663
921	19419	1642
922	19440	1621
923	19460	1600
924	19479	1579
925	19499	1558
926	19519	1537
927	19540	1516
928	19559	1494
929	19580	1473
930	19600	1452
931	19619	1431
932	19639	1410
933	19658	1389
934	19678	1368
935	19698	1346
936	19717	1325
937	19738	1304
938	19757	1283
939	19777	1262
940	19800	1241
941	19820	1220
942	19841	1199
943	19862	1178
944	19883	1157
945	19902	1136
946	19922	1115
947	19943	1093
948	19964	1072
949	19984	1051
950	20004	1030
951	20023	1009
952	20043	988
953	20062	967
954	20082	946
955	20102	925
956	20121	904
957	20141	883
958	20161	861
959	20181	840
960	20207	820
961	20227	799
962	20248	777
963	20268	756
964	20288	735
965	20308	714
966	20331	693
967	20352	672
968	20372	651
969	20391	630
970	20413	609
971	20432	588
972	20452	567
973	20472	546
974	20492	525
975	20513	504
976	20534	483
977	20552	462
978	20572	441
979	20592	420
980	20615	399
981	20639	378
982	20658	357
983	20677	336
984	20696	315
985	20717	294
986	20737	273
987	20757	252
988	20777	231
989	20797	210
990	20817	189
991	20837	168
992	20858	147
993	20878	126
994	20899	105
995	20919	84
996	20940	63
997	20959	42
998	20981	21
999	21001	0
